-4,  1, -3,
 1,  0, -3,
-4, -3, -3,

-4, -3, -3,
 1,  0, -3,
 1, -2, -3,

-4, -3, -3,
 1, -2, -3,
 1, -2,  0,

 1, -2,  0,
 1, -2, -3,
-4, -3,  0,

 1, -2,  0,
 1, -2, -3,
 1,  0, -3,

 1, -2,  0,
 1,  0, -3,
 1,  0,  0,

 1,  0, -3,
 1,  0,  0,
-4,  1, -3,

 1,  0,  0,
-4,  1, -3,
-4,  1,  0,

-4,  1, -3,
-4,  1,  0,
-4, -3, -3,

-4,  1,  0,
-4, -3, -3,
-4, -3,  0,

-4,  1,  0,
-4, -3,  0,
 1,  0,  0,

-4, -3,  0,
 1,  0,  0,
-2,  0, 10,

 0, -1,  0,
-1,  0,  0,
 0, -1, 10,

-1,  0,  0,
 0, -1, 10,
-1,  0, 10,

-1,  0,  0,
-2,  0,  0,
-1,  0, 10,

-2,  0,  0,
-1,  0, 10,
-2,  0, 10,

-2,  0,  0,
-2,  0, 10,
-3, -1, 10,

-3, -1,  0,
-2,  0, 10,
-3, -1, 10,

-3, -1,  0,
-3, -1, 10,
-2, -2, 10,

-3, -1, 10,
-2, -2,  0,
-2, -2, 10,

-2, -2, 10,
-2, -2,  0,
-1, -2,  0,

-1, -2,  0,
-2, -2, 10,
-1, -2, 10,

-1, -2,  0,
-1, -2, 10,
 0, -1,  0,

-1, -2, 10,
 0, -1,  0,
 0, -1, 10,
